text	class
Ё	0
А	1
Р	2
Е	3
Ч	4
Л	5
Ц	6
С	7
Й	8
З	9
Ь	10
Я	11
Б	12
Щ	13
У	14
Ы	15
Д	16
Ф	17
Т	18
Ъ	19
О	20
М	21
П	22
Х	23
Э	24
Ц	6
Н	25
В	26
Ю	27
Ш	28
Ж	29
Г	30
Ф	17
Ё	0
А	1
Щ	13
Д	16
З	9
Ц	6
Е	3
Ь	10
Ы	15
С	7
Н	25
Ю	27
Я	11
Ъ	19
Ч	4
П	22
Р	2
Б	12
Х	23
Э	24
Л	5
Й	8
Ш	28
Ж	29
Г	30
З	9
Х	23
М	21
Б	12
Ш	28
Т	18
А	1
Р	2
Ы	15
Э	24
Ъ	19
Б	12
З	9
Ё	0
Щ	13
Н	25
С	7
Е	3
Ц	6
У	14
В	26
К	31
Ж	29
Х	23
Ю	27
Т	18
М	21
Й	8
Ь	10
Ш	28
А	1
О	20
Р	2
Ч	4
Я	11
П	22
Д	16
Ф	17
И	32
Л	5
Г	30
Б	12
Щ	13
К	31
Е	3
С	7
Э	24
А	1
Ы	15
Т	18
Ч	4
Ё	0
Я	11
Ъ	19
И	32
Ф	17
Н	25
Ь	10
М	21
О	20
П	22
Х	23
У	14
Й	8
Д	16
Ц	6
Л	5
В	26
Ю	27
Ж	29
Г	30
Я	11
П	22
Ы	15
Ё	0
Ъ	19
М	21
Я	11
Ч	4
Ф	17
Л	5
С	7
Е	3
Щ	13
Ш	28
Р	2
Э	24
Ь	10
Г	30
Н	25
Ж	29
Ж	29
Ь	10
Ъ	19
А	1
Ю	27
Э	24
П	22
Ц	6
Й	8
Н	25
С	7
О	20
З	9
Ы	15
Щ	13
Ё	0
Ш	28
Л	5
М	21
Ф	17
Х	23
Д	16
Ч	4
Б	12
Е	3
Г	30
Р	2
Й	8
О	20
П	22
Ы	15
Я	11
Ъ	19
Л	5
Т	18
К	31
Х	23
А	1
М	21
Н	25
С	7
Е	3
Ё	0
Ц	6
Ч	4
Ю	27
Ш	28
В	26
Ж	29
Б	12
Э	24
И	32
У	14
Ф	17
Щ	13
Д	16
Р	2
Ь	10
З	9
Г	30
П	22
Д	16
З	9
А	1
Ь	10
Ф	17
Ш	28
Х	23
Я	11
Щ	13
С	7
Е	3
Э	24
Б	12
Ё	0
М	21
Ю	27
Р	2
Ц	6
Ъ	19
Ж	29
Т	18
Л	5
Й	8
Ы	15
Н	25
Ч	4
Г	30
Й	8
Ю	27
Б	12
З	9
Ы	15
Ь	10
Я	11
П	22
Щ	13
Ц	6
Э	24
А	1
Ъ	19
У	14
Ш	28
О	20
Н	25
Ж	29
Ё	0
Ф	17
Т	18
Б	12
Ю	27
Р	2
И	32
Д	16
К	31
Л	5
Ч	4
Й	8
Х	23
З	9
С	7
Е	3
М	21
Г	30
В	26
Л	5
Э	24
Х	23
З	9
Ш	28
Н	25
Ы	15
Д	16
Ь	10
Ж	29
Ф	17
Ъ	19
П	22
Ч	4
Б	12
А	1
Ё	0
Ю	27
Я	11
Ц	6
Т	18
Е	3
М	21
Г	30
Р	2
Ь	10
Г	30
М	21
Й	8
Ы	15
А	1
З	9
Т	18
Э	24
К	31
Я	11
Ж	29
В	26
О	20
Х	23
Ф	17
Ё	0
Щ	13
И	32
Ц	6
Л	5
У	14
Н	25
Ю	27
Д	16
Е	3
С	7
Ъ	19
П	22
Р	2
Ш	28
Ч	4
П	22
Н	25
Г	30
Й	8
Р	2
Щ	13
Е	3
И	32
Х	23
Л	5
Ю	27
З	9
Б	12
С	7
Ч	4
Ц	6
А	1
Э	24
Я	11
Ж	29
У	14
В	26
Ь	10
М	21
Ы	15
Ф	17
Д	16
Ъ	19
Ш	28
К	31
Ё	0
Т	18
А	1
Ы	15
М	21
Ю	27
Я	11
Ъ	19
Ь	10
Щ	13
Д	16
Й	8
Ё	0
Э	24
Ч	4
Х	23
Б	12
Г	30
С	7
Е	3
Н	25
Л	5
П	22
Р	2
З	9
Ш	28
Т	18
Ж	29
Ц	6
Ф	17
Е	3
Э	24
Я	11
Й	8
З	9
Л	5
Б	12
Х	23
М	21
Ы	15
Ю	27
П	22
А	1
Д	16
Р	2
Ъ	19
Т	18
Ж	29
Щ	13
Г	30
Ь	10
Ё	0
Ш	28
Н	25
Ц	6
С	7
Ч	4
Ф	17
Й	8
Я	11
Э	24
Б	12
З	9
Ы	15
Ш	28
А	1
Н	25
Й	8
Ю	27
Е	3
Т	18
Х	23
Р	2
Ъ	19
М	21
Ч	4
Ж	29
П	22
Ё	0
Ц	6
Ф	17
Г	30
Т	18
Ь	10
С	7
Л	5
Д	16
Щ	13
Т	18
С	7
Д	16
Щ	13
козел	33
гнездо	34
вой	35
креветка	36
бегемот	37
нашествие	38
лиса	39
динозавр	40
перо	41
крокодил	42
летучая мышь	43
дикое животное	44
попугай	45
ежик	46
волк	47
овца	48
петух	49
белка	50
пингвин	51
помесь	52
осел	53
дятел	54
воротник	55
аллигатор	56
кошка	57
рога	58
лошадь	59
жираф	60
вол	61
населять	62
верблюд	63
коза	64
ползанье	65
бабочка	66
клюв	67
собака	68
кролик	69
паук	70
водоплавающее	71
носорог	72
мышь	73
зверь	74
плавник	75
паучья сеть	76
животное	77
лев	78
тигр	79
миграция	80
копыто	81
зубы	82
коготь	83
рыба	84
лось	85
пчела	86
птица	87
комар	88
змея	89
гавканье	90
бык	91
зоопарк	92
клевать	93
акула	94
рычать	95
панда	96
крыса	97
олень	98
делать выводы	99
орел	100
лебедь	101
рычание	102
медведь	103
слон	104
дельфин	105
павлин	106
вилять	107
собачий домик	108
домашнее животное	109
курица	110
медуза	111
клетка	112
свинья	113
лягушка	114
голова	115
корм для домашних животных	116
корова	117
обезьяна	118
соты	119
крыло	120
заяц	121
креветка	36
нашествие	38
динозавр	40
ползанье	65
кошка	57
летучая мышь	43
крокодил	42
дятел	54
гнездо	34
лиса	39
рога	58
воротник	55
носорог	72
петух	49
осел	53
бегемот	37
пингвин	51
дикое животное	44
помесь	52
козел	33
лягушка	114
аллигатор	56
вой	35
ежик	46
птица	87
клюв	67
лошадь	59
коза	64
овца	48
собака	68
волк	47
попугай	45
зверь	74
вол	61
жираф	60
мышь	73
кролик	69
зубы	82
лев	78
панда	96
водоплавающее	71
паучья сеть	76
голова	115
верблюд	63
олень	98
орел	100
рычание	102
крыса	97
паук	70
копыто	81
гавканье	90
лось	85
змея	89
бабочка	66
комар	88
собачий домик	108
курица	110
павлин	106
акула	94
животное	77
лебедь	101
бык	91
прирученный	122
рыба	84
рычать	95
корм для домашних животных	116
клетка	112
коготь	83
делать выводы	99
клевать	93
соты	119
медуза	111
дельфин	105
вилять	107
тигр	79
слон	104
зоопарк	92
корова	117
пчела	86
медведь	103
свинья	113
обезьяна	118
крыло	120
заяц	121
осел	53
попугай	45
воротник	55
кошка	57
лиса	39
дикое животное	44
вой	35
гнездо	34
креветка	36
динозавр	40
аллигатор	56
помесь	52
населять	62
овца	48
ежик	46
козел	33
перо	41
кролик	69
коза	64
лошадь	59
осел	53
коза	64
плавник	75
рыба	84
зоопарк	92
бык	91
собачий домик	108
мышь	73
рыба	84
верблюд	63
паук	70
гавканье	90
жираф	60
коготь	83
зубы	82
зверь	74
тигр	79
зоопарк	92
олень	98
корова	117
лось	85
панда	96
пчела	86
летучая мышь	43
медведь	103
бык	91
рычание	102
слон	104
делать выводы	99
обезьяна	118
бегемот	37
вой	35
осел	53
рычать	95
животное	77
креветка	36
козел	33
дикое животное	44
дельфин	105
нашествие	38
соты	119
домашнее животное	109
медуза	111
овца	48
крокодил	42
аллигатор	56
воротник	55
петух	49
кошка	57
пингвин	51
белка	50
лиса	39
динозавр	40
помесь	52
вол	61
населять	62
попугай	45
миграция	80
лошадь	59
лягушка	114
носорог	72
птица	87
плавник	75
жираф	60
водоплавающее	71
верблюд	63
волк	47
собака	68
клюв	67
дятел	54
зубы	82
ежик	46
кролик	69
мышь	73
лев	78
коготь	83
паучья сеть	76
паук	70
гавканье	90
зверь	74
животное	77
копыто	81
бабочка	66
зоопарк	92
крыса	97
акула	94
тигр	79
олень	98
корова	117
лось	85
панда	96
пчела	86
рычание	102
бык	91
рога	58
курица	110
змея	89
медведь	103
делать выводы	99
лебедь	101
обезьяна	118
клетка	112
соты	119
свинья	113
павлин	106
дельфин	105
клевать	93
медуза	111
корм для домашних животных	116
рыба	84
комар	88
собачий домик	108
рычать	95
слон	104
вилять	107
заяц	121
гнездо	34
попугай	45
козел	33
нашествие	38
кошка	57
воротник	55
миграция	80
белка	50
динозавр	40
овца	48
населять	62
ползанье	65
крокодил	42
носорог	72
помесь	52
летучая мышь	43
осел	53
перо	41
петух	49
лягушка	114
ежик	46
дятел	54
бегемот	37
плавник	75
пингвин	51
вол	61
клюв	67
креветка	36
лиса	39
лошадь	59
волк	47
коза	64
птица	87
зубы	82
жираф	60
собака	68
зверь	74
рога	58
лев	78
паучья сеть	76
бабочка	66
вой	35
кролик	69
тигр	79
панда	96
дикое животное	44
паук	70
крыса	97
гавканье	90
аллигатор	56
коготь	83
животное	77
орел	100
клевать	93
зоопарк	92
акула	94
рычание	102
медведь	103
лось	85
олень	98
корова	117
собачий домик	108
свинья	113
копыто	81
прирученный	122
рычать	95
комар	88
курица	110
соты	119
клетка	112
лебедь	101
верблюд	63
вилять	107
мышь	73
слон	104
заяц	121
корм для домашних животных	116
змея	89
обезьяна	118
делать выводы	99
пчела	86
павлин	106
голова	115
бык	91
домашнее животное	109
крыло	120
дельфин	105
медуза	111
гнездо	34
олень	98
осел	53
плавник	75
пингвин	51
кролик	69
коготь	83
собака	68
перо	41
дикое животное	44
коготь	83
осел	53
копыто	81
миграция	80
собака	68
олень	98
дельфин	105
клетка	112
комар	88
рыба	84
курица	110
пчела	86
гнездо	34
пингвин	51
обезьяна	118
рычание	102
орел	100
кролик	69
корова	117
лиса	39
прирученный	122
динозавр	40
животное	77
плавник	75
рога	58
дикое животное	44
кошка	57
петух	49
креветка	36
попугай	45
ежик	46
вол	61
гавканье	90
козел	33
помесь	52
волк	47
вой	35
перо	41
вилять	107
крыло	120
свинья	113
паучья сеть	76
лягушка	114
лошадь	59
акула	94
носорог	72
бабочка	66
зоопарк	92
панда	96
лебедь	101
медуза	111
жираф	60
мышь	73
слон	104
кролик	69
белка	50
заяц	121
ползанье	65
зверь	74
домашнее животное	109
паук	70
лось	85
воротник	55
бегемот	37
медведь	103
коза	64
водоплавающее	71
рыба	84
павлин	106
аллигатор	56
клюв	67
рычать	95
клевать	93
лев	78
нашествие	38
овца	48
птица	87
соты	119
крыса	97
зубы	82
делать выводы	99
летучая мышь	43
змея	89
тигр	79
козел	33
корм для домашних животных	116
плавник	75
голова	115
дельфин	105
крокодил	42
животное	77
населять	62
бык	91
дятел	54
верблюд	63
вилять	107
коготь	83
кошка	57
корова	117
миграция	80
дикое животное	44
динозавр	40
перо	41
орел	100
помесь	52
креветка	36
вой	35
медуза	111
гнездо	34
жираф	60
пингвин	51
панда	96
аллигатор	56
кролик	69
плавник	75
коготь	83
курица	110
копыто	81
петух	49
дикое животное	44
козел	33
рыба	84
лиса	39
собака	68
домашнее животное	109
дельфин	105
акула	94
рычание	102
попугай	45
комар	88
пчела	86
кошка	57
орел	100
вилять	107
носорог	72
перо	41
динозавр	40
животное	77
собачий домик	108
клетка	112
ежик	46
корова	117
попугай	45
нашествие	38
гавканье	90
крыло	120
вол	61
петух	49
миграция	80
помесь	52
лягушка	114
орел	100
комар	88
животное	77
белка	50
корова	117
носорог	72
козел	33
попугай	45
дельфин	105
копыто	81
курица	110
кошка	57
рычание	102
рыба	84
волк	47
лиса	39
олень	98
осел	53
помесь	52
волк	47
вол	61
пчела	86
собачий домик	108
рога	58
свинья	113
лошадь	59
обезьяна	118
клетка	112
гавканье	90
вой	35
нашествие	38
рога	58
лягушка	114
акула	94
прирученный	122
паучья сеть	76
заяц	121
панда	96
гавканье	90
креветка	36
жираф	60
кролик	69
обезьяна	118
змея	89
перо	41
зоопарк	92
клетка	112
ежик	46
бабочка	66
петух	49
белка	50
собака	68
олень	98
мышь	73
дикое животное	44
пингвин	51
лиса	39
креветка	36
домашнее животное	109
крыло	120
миграция	80
курица	110
медуза	111
животное	77
панда	96
делать выводы	99
рыба	84
осел	53
рычать	95
ежик	46
козел	33
лошадь	59
жираф	60
белка	50
заяц	121
рычание	102
коготь	83
паучья сеть	76
кошка	57
акула	94
зоопарк	92
бабочка	66
медведь	103
пчела	86
динозавр	40
собачий домик	108
попугай	45
корова	117
волк	47
вилять	107
дельфин	105
рычать	95
помесь	52
плавник	75
павлин	106
комар	88
орел	100
бегемот	37
медведь	103
лев	78
вол	61
коза	64
овца	48
рога	58
медведь	103
паук	70
лошадь	59
гавканье	90
населять	62
заяц	121
слон	104
вой	35
лебедь	101
крыло	120
воротник	55
паук	70
павлин	106
обезьяна	118
крокодил	42
верблюд	63
зверь	74
паучья сеть	76
слон	104
миграция	80
